MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71755788,1,20160317,645,0,0,0,2,2,55,37.00227,-84.606873,1,4,4,1,1,2,5,001-KY-0055  -,0
71756203,1,20160207,2154,0,0,0,1,1,55,37.364189,-82.792381,9,2,3,1,5,2,6,001-KY-0055  -,1
71757629,1,20160315,1629,0,0,1,4,4,65,39.056679,-84.431358,8,3,4,2,1,2,2,001-KY-0055  -,1
71757721,1,20160406,1545,0,0,0,2,2,55,36.95137,-89.089371,7,3,1,1,5,3,2,001-KY-0055  -,1
71758458,1,20160406,1028,0,1,3,2,2,55,37.898979,-85.473343,1,4,6,1,1,3,2,001-KY-0055  -,0
71764801,1,20160413,1759,0,0,0,2,1,45,36.746639,-84.158897,9,2,1,1,1,3,2,001-KY-0055  -,0
71767231,1,20160423,1206,0,0,4,4,4,25,36.77306,-88.116074,3,2,4,1,1,2,2,001-KY-0055  -,0
71767650,1,20160430,2145,0,0,0,1,1,45,37.039162,-84.960289,9,2,3,1,5,6,4,001-KY-0055  -,1
71767679,1,20160416,1956,0,1,2,2,2,45,38.183498,-85.606583,4,4,4,1,1,2,6,001-KY-0055  -,0
71767904,1,20160502,1711,0,1,0,5,5,45,36.998409,-86.43998,7,4,6,1,1,2,2,001-KY-0055  -,0
71769823,1,20160507,1137,0,0,2,6,6,70,38.048012,-84.424309,5,6,6,1,1,2,2,001-KY-0055  -,0
71770574,1,20160428,2148,0,0,3,3,3,40,38.242489,-85.75264,5,3,3,1,1,2,5,001-KY-0055  -,1
71771722,1,20160511,1552,0,1,1,2,2,45,38.212269,-85.587318,1,4,6,1,1,2,2,001-KY-0055  -,0
71775742,1,20160513,704,0,0,5,3,3,45,36.910751,-86.441818,5,2,3,1,1,2,2,001-KY-0055  -,0
71779611,1,20160530,456,0,0,1,2,1,70,38.037022,-84.29007,9,6,6,1,1,2,4,001-KY-0055  -,0
71779683,1,20160517,950,0,0,1,2,2,35,37.97868,-85.693298,1,5,6,1,1,3,2,001-KY-0055  -,1
